scientificName	accession	taxid
plasmid	NZ_CP044915	47466
plasmid	NC_006400	273035
plasmid	NZ_CP044916	47466
plasmid	NZ_CP044917	47466
plasmid	NZ_CP044918	47466
plasmid	NZ_CP044919	47466
plasmid	NZ_CP044920	47466
plasmid	NZ_CP044921	47466
plasmid	NZ_CP044922	47466
plasmid	NZ_CP044923	47466
plasmid	NZ_CP044924	47466
plasmid	NZ_CP044925	47466
plasmid	NC_004951	47880
plasmid	NZ_CP044926	47466
plasmid	NZ_CP044927	47466
plasmid	NZ_CP044928	47466
plasmid	NZ_CP044929	47466
plasmid	NZ_CP044930	47466
plasmid	NZ_CP044931	47466
plasmid	NZ_CP044932	47466
plasmid	NZ_CP044933	47466
plasmid	NZ_CP044934	47466
plasmid	NZ_CP044935	47466
plasmid	NC_001772	48257
plasmid	NZ_CP044936	47466
plasmid	NZ_CP044937	47466
plasmid	NZ_CP044938	47466
plasmid	NZ_CP044939	47466
plasmid	NZ_CP044940	47466
plasmid	NZ_CP044941	47466
plasmid	NZ_CP044942	47466
plasmid	NZ_CP044943	47466
plasmid	NZ_CP044944	47466
plasmid	NZ_CP044945	47466
plasmid	NC_007593	51663
plasmid	NZ_CP044946	47466
plasmid	NZ_CP044947	47466
plasmid	NZ_CP044948	47466
plasmid	NZ_CP044949	47466
plasmid	NZ_CP044950	47466
plasmid	NZ_CP044951	47466
plasmid	NZ_CP044952	47466
plasmid	NZ_CP044953	47466
plasmid	NZ_CP044954	47466
plasmid	NZ_CP044955	47466
plasmid	NC_010523	51669
plasmid	NZ_CP044956	47466
plasmid	NZ_CP044626	47466
plasmid	NZ_CP044627	47466
plasmid	NZ_CP044628	47466
plasmid	NZ_CP044629	47466
plasmid	NZ_CP044630	47466
plasmid	NZ_CP044631	47466
plasmid	NZ_CP044632	47466
plasmid	NZ_CP044633	47466
plasmid	NZ_CP044634	47466
plasmid	NC_010938	51669
plasmid	NZ_CP044635	47466
plasmid	NZ_CP044636	47466
plasmid	NZ_CP044638	47466
plasmid	NZ_CP044639	47466
plasmid	NZ_CP044640	47466
plasmid	NZ_CP044641	47466
plasmid	NZ_CP044642	47466
plasmid	NZ_CP044643	47466
plasmid	NZ_CP044644	47466
plasmid	NZ_CP044645	47466
plasmid	NC_015255	1004777
plasmid	NZ_CP044646	47466
plasmid	NZ_CP044647	47466
plasmid	NZ_CP044649	47466
plasmid	NZ_CP044650	47466
plasmid	NZ_CP044651	47466
plasmid	NZ_CP044652	47466
plasmid	NZ_CP044653	47466
plasmid	NZ_CP044654	47466
plasmid	NZ_CP044655	47466
plasmid	NZ_CP044656	47466
plasmid	NC_015257	51669
plasmid	NC_004429	562
plasmid	NZ_CP044657	47466
plasmid	NZ_CP044658	47466
plasmid	NZ_CP044659	47466
plasmid	NZ_CP044660	47466
plasmid	NZ_CP044661	47466
plasmid	NZ_CP044662	47466
plasmid	NZ_CP044663	47466
plasmid	NZ_CP044664	47466
plasmid	NZ_CP044665	47466
plasmid	NZ_CP044666	47466
plasmid	NC_001425	52258
plasmid	NZ_CP044667	47466
plasmid	NZ_CP044668	47466
plasmid	NZ_CP044669	47466
plasmid	NZ_CP044670	47466
plasmid	NZ_CP044673	47466
plasmid	NZ_CP044674	47466
plasmid	NZ_CP044675	47466
plasmid	NZ_CP044676	47466
plasmid	NZ_CP044677	47466
plasmid	NZ_CP044678	47466
plasmid	NC_010872	473421
plasmid	NZ_CP044679	47466
plasmid	NZ_CP044680	47466
plasmid	NZ_CP044681	47466
plasmid	NZ_CP044682	47466
plasmid	NZ_CP044683	47466
plasmid	NZ_CP044684	47466
plasmid	NZ_CP044685	47466
plasmid	NZ_CP044686	47466
plasmid	NZ_CP044687	47466
plasmid	NZ_CP044688	47466
plasmid	NC_007184	63612
plasmid	NZ_CP044689	47466
plasmid	NZ_CP044690	47466
plasmid	NZ_CP044691	47466
plasmid	NZ_CP044692	47466
plasmid	NZ_CP044693	47466
plasmid	NZ_CP044694	47466
plasmid	NZ_CP044695	47466
plasmid	NZ_CP044696	47466
plasmid	NZ_CP044697	47466
plasmid	NZ_CP044698	47466
plasmid	NC_007186	63612
plasmid	NZ_CP044699	47466
plasmid	NZ_CP044700	47466
plasmid	NZ_CP044701	47466
plasmid	NZ_CP044702	47466
plasmid	NZ_CP044703	47466
plasmid	NZ_CP044704	47466
plasmid	NZ_CP044705	47466
plasmid	NZ_CP044706	47466
plasmid	NZ_CP044707	47466
plasmid	NZ_CP044708	47466
plasmid	NC_003114	67825
plasmid	NZ_CP044709	47466
plasmid	NZ_CP044710	47466
plasmid	NZ_CP044711	47466
plasmid	NZ_CP044712	47466
plasmid	NZ_CP044713	47466
plasmid	NZ_CP044714	47466
plasmid	NZ_CP044715	47466
plasmid	NZ_CP044716	47466
