scientificName	nuccoreAcc	taxid
Lactococcus lactis	CP016750	1358
Pseudomonas cerasi	LT222314	1583341
Pseudomonas cerasi	LT963401	1583341
Pseudomonas	LT963405	286
Pseudomonas	CP026564	286
Pseudomonas	LT985191	286
Pseudomonas syringae	LT985194	317
Pseudomonas syringae	LT963413	317
Pseudomonas syringae	LT963407	317
Pseudomonas syringae group genomosp. 3	AF359557	251701
Pseudomonas syringae	LT963406	317
Pseudomonas avellanae	CP026566	46257
Pseudomonas cerasi	LT963400	1583341
Pseudomonas cerasi	LT222317	1583341
Pseudomonas savastanoi	FR820587	29438
Pseudomonas syringae group genomosp. 3	AY603980	251701
Pseudomonas savastanoi	FR820585	29438
Pseudomonas syringae	LT963403	317
Pseudomonas cerasi	LT222313	1583341
Pseudomonas	CP034561	286
Pseudomonas syringae	LT963394	317
Pseudomonas syringae	CP024714	317
Pseudomonas	LT963411	286
Pseudomonas	CP026557	286
Pseudomonas	CP026563	286
Pseudomonas	LT963404	286
Pseudomonas	CP034560	286
Pseudomonas	AE016854	286
Pseudomonas	AE016855	286
Pseudomonas	KY362366	286
Pseudomonas syringae	CP011973	317
Pseudomonas syringae	CP018204	317
Pseudomonas syringae	CP018203	317
Pseudomonas	CP034559	286
Pseudomonas	CP026559	286
Pseudomonas	CP019872	286
Pseudomonas amygdali	CP031228	47877
Borreliella burgdorferi	CP001261	139
Borreliella burgdorferi	AF169008	139
Borreliella burgdorferi	CP001376	139
Borreliella burgdorferi	CP001496	139
Borreliella burgdorferi	CP001546	139
Borreliella burgdorferi	CP001453	139
Borreliella burgdorferi	CP002235	139
Borreliella burgdorferi	CP001444	139
Borreliella burgdorferi	CP031410	139
Borreliella burgdorferi	CP001268	139
Borreliella burgdorferi	CP002229	139
Borreliella burgdorferi	CP031405	139
Borreliella burgdorferi	CP031407	139
Borrelia mayonii	CP015782	1674146
Borrelia mayonii	CP015786	1674146
Borreliella bissettii	CP002754	64897
Borreliella bissettii	CP002748	64897
Borreliella bissettii	CP002752	64897
Borreliella bissettii	CP002749	64897
Borreliella bissettii	CP002753	64897
Borreliella bissettii	CP002750	64897
Borreliella burgdorferi	CP001549	139
Borreliella burgdorferi	CP001371	139
Borreliella burgdorferi	CP001266	139
Borreliella burgdorferi	CP001270	139
Borreliella burgdorferi	CP017204	139
Borreliella burgdorferi	CP002323	139
Borreliella burgdorferi	CP001263	139
Borreliella	CP015783	64895
Borreliella	AE001581	64895
Borreliella	CP002310	64895
Borreliella	AE001577	64895
Borreliella	CP015784	64895
Borreliella	CP019757	64895
Borreliella	AE001578	64895
Borreliella	CP001450	64895
Borreliella	CP001445	64895
Borreliella	CP001556	64895
Borreliella	CP001526	64895
Borreliella	CP001499	64895
Borreliella	CP001492	64895
Borreliella	CP001457	64895
Borreliella	CP001381	64895
Borreliella	CP001534	64895
Borreliella	CP001426	64895
Borreliella	CP001264	64895
Borreliella burgdorferi	CP001415	139
Borreliella	CP001269	64895
Borreliella	CP001259	64895
Borreliella	CP015785	64895
Borreliella	CP002261	64895
Borreliella	CP002240	64895
Borreliella	CP001491	64895
Borreliella	CP001208	64895
Borreliella	AE001579	64895
Borreliella burgdorferi	CP001475	139
Borreliella burgdorferi	CP002263	139
Borreliella burgdorferi	CP002321	139
Borreliella burgdorferi	CP001479	139
Borreliella burgdorferi	CP031408	139
Borreliella burgdorferi	CP001478	139
Borreliella burgdorferi	CP002227	139
Borreliella burgdorferi	CP001558	139
Borreliella burgdorferi	CP001565	139
Borreliella burgdorferi	CP001414	139
Borreliella burgdorferi	AE001576	139
Borreliella burgdorferi	CP019756	139
Borreliella burgdorferi	CP001372	139
Borreliella	CP001202	64895
Borreliella finlandensis	CP001516	498741
Borreliella finlandensis	CP001517	498741
Borreliella afzelii	CP002940	29518
Borreliella afzelii	CP000400	29518
Borreliella afzelii	CP009068	29518
Borreliella afzelii	CP001240	29518
Borreliella afzelii	CP001237	29518
Borreliella afzelii	CP001248	29518
Borreliella afzelii	CP002935	29518
Borreliella afzelii	CP002938	29518
Borreliella afzelii	CP002937	29518
Borreliella	CP028868	64895
Borreliella	CP001303	64895
Borreliella	CP028880	64895
Borreliella valaisiana	CP001441	62088
Borreliella garinii	CP028864	29519
Borrelia sp. CA690	CP044542	1476873
Edwardsiella ictaluri	KR869778	67780
Edwardsiella ictaluri	AF244084	67780
Edwardsiella ictaluri	KT937280	67780
Edwardsiella piscicida	CP016445	1263550
Edwardsiella ictaluri	KC237288	67780
Edwardsiella piscicida	MG212496	1263550
Edwardsiella tarda	MF925335	636
Edwardsiella piscicida	MG212498	1263550
Edwardsiella piscicida	MG212497	1263550
Klebsiella pneumoniae	CP032209	573
Klebsiella pneumoniae	CP039975	573
Klebsiella pneumoniae	CP018460	573
Klebsiella pneumoniae	CP023488	573
Klebsiella pneumoniae	AP012055	573
Klebsiella pneumoniae	CP006663	573
Klebsiella pneumoniae	CP014649	573
Klebsiella pneumoniae	CP021713	573
Klebsiella pneumoniae	CP031735	573
Klebsiella	CP025142	570
Klebsiella	LR025093	570
Klebsiella	CP022125	570
Klebsiella	MK396843	570
Klebsiella	CP035216	570
Klebsiella pneumoniae	MG764551	573
Klebsiella pneumoniae	MK036889	573
Klebsiella pneumoniae	CP010390	573
Klebsiella pneumoniae	CP021166	573
Klebsiella pneumoniae	CP025212	573
Klebsiella pneumoniae	CP041936	573
Klebsiella	CP028954	570
Klebsiella	CP026716	570
Klebsiella	CP024483	570
Klebsiella	LR134219	570
Klebsiella	CP022926	570
Klebsiella	MH745929	570
Enterobacter cloacae	MH056209	550
Pantoea dispersa	CP045217	59814
Enterobacteriaceae	AY258503	543
Enterobacteriaceae	CP027463	543
Enterobacteriaceae	CP027600	543
Enterobacteriaceae	KJ484640	543
Enterobacteriaceae	CP027522	543
Enterobacteriaceae	CP028120	543
Escherichia coli	CP031895	562
Escherichia coli	KR905384	562
Escherichia coli	CP018772	562
Escherichia coli	KY565558	562
Escherichia coli	MG825371	562
Escherichia coli	CP023144	562
Escherichia coli	CP029742	562
Escherichia coli	MG196294	562
Escherichia coli	CP043035	562
Enterobacteriaceae	KT754166	543
Enterobacteriaceae	CP040455	543
Enterobacteriaceae	FJ386569	543
Enterobacteriaceae	KU932021	543
Enterobacteriaceae	MG299133	543
Enterobacteriaceae	CP009052	543
Escherichia coli	CU928147	562
Escherichia coli	CP027379	562
Escherichia coli	CP027324	562
Borrelia miyamotoi	CP036777	47466
Borrelia miyamotoi	CP044821	47466
Borrelia miyamotoi	CP036773	47466
Borrelia miyamotoi	CP036937	47466
Rhodobacteraceae	CP015092	31989
Rhodobacteraceae	CP015233	31989
Epibacterium mobile	LR027556	379347
Roseovarius	CP020475	74030
Rhodobacteraceae	CP010699	31989
Rhodobacteraceae	CP004395	31989
Sulfitobacter sp. THAF37	CP045375	2587855
Marinovum algicola	CP010861	42444
Roseivivax sp. THAF197b	CP045320	2588299
Roseovarius	CP045394	74030
Roseovarius indicus	CP031600	540747
Escherichia coli	CP001847	562
Escherichia coli	CP024137	562
Escherichia coli	CP024129	562
Escherichia coli	CP014753	562
Escherichia coli	CP006263	562
Escherichia coli	CP025880	562
Enterobacteriaceae	CP041537	543
Enterobacteriaceae	CP040454	543
Escherichia coli	CP011418	562
Salmonella enterica	CP019190	28901
Salmonella enterica	CP017721	28901
Escherichia coli	CP027641	562
Escherichia coli	CP027674	562
Escherichia coli	CP028383	562
Escherichia coli	CP027375	562
Escherichia coli	CP027343	562
Escherichia coli	CP042297	562
Escherichia coli	CP001162	562
Escherichia coli	CP027521	562
Enterobacteriaceae	JN983046	543
Enterobacteriaceae	CP038792	543
Escherichia coli	LT985252	562
Escherichia coli	CP011496	562
Escherichia coli	CP027256	562
Escherichia coli	CP031893	562
Escherichia coli	CP015239	562
Escherichia coli	CP011019	562
Escherichia coli	CP010192	562
Escherichia coli	CP027455	562
Escherichia coli	CP027765	562
Escherichia coli	JQ418522	562
Escherichia coli	CP010123	562
Escherichia albertii	CP030782	208962
Escherichia albertii	CP024286	208962
Escherichia coli	CP001065	562
Escherichia coli	CP026754	562
Escherichia coli	CP023358	562
Escherichia	CP024287	561
Escherichia coli	CP027448	562
Escherichia coli	CP025844	562
Enterobacteriaceae	CP012928	543
Enterobacteriaceae	KF582523	543
Enterobacteriaceae	GU371926	543
Enterobacteriaceae	KU932028	543
Enterobacteriaceae	CP023355	543
Enterobacteriaceae	KY416992	543
