scientificName	nuccoreAcc	taxid	parent	source
Brucella_anthropi	CP000759	529	234	NCBI-REF
Pantoea_ananatis	CP001875	553	53335	NCBI-REF
Parabacteroides_distasonis	CP000140	823	375288	NCBI-REF
Pasteurella_multocida	CP020405	747	745	FDA-ARGOS
Photobacterium_damselae	CP046751	38293	657	CDC SME
Photobacterium_damselae	CP046752	38293	657	CDC SME
Pollachius_virens	FR751399	8060	8059	UGA SME
Polynucleobacter_necessarius	LT615228	576610	44013	NCBI-REF
Prochlorococcus_marinus	AE017126	1219	1218	NCBI-REF
Proteus_mirabilis	CP004022	584	583	NCBI-REF
Pseudomonas_aeruginosa	AE004091	287	136841	NCBI-REF
Pseudomonas_putida	AP013070	390235	303	NCBI-REF
Pseudomonas_syringae_group_genomosp._3	AE016853	251701	136849	NCBI-REF
Pyrobaculum_neutrophilum	CP001014	70771	2276	NCBI-REF
Respiratory_syncytial_virus_A	AF013254	208893	11250	NCBI-REF
Rhodopirellula_baltica	BX119912	265606	265488	NCBI-REF
Rhodospirillum_rubrum	CP000230	1085	1081	NCBI-REF
Rickettsia_prowazekii	AJ235269	782	114292	NCBI-REF
Ruminococcus_sp.	CP039381	1263	216572	NCBI-REF
Salinibacter_ruber	CP000159	146919	146918	NCBI-REF
Salmonella_bongori	FR877557	54736	590	NCBI-REF
Salmonella_enterica_I	AE006468	59201	28901	NCBI-REF
Salmonella_enterica_IIa	CP053411	9000010	28901	CDC SME
Salmonella_enterica_IIb	LR134141	9000011	28901	NCTC3000
Salmonella_enterica_IIIa	CP000880	9000014	28901	CDC SME
Salmonella_enterica_IIIb	CP053583	9000015	28901	CDC SME
Salmonella_enterica_IV	CP053579	59205	28901	CDC SME
Salmonella_enterica_IX	CP054715	9000016	28901	CDC SME
Salmonella_enterica_Paratyphi_A	CP000026	90370	59201	NCBI-REF
Salmonella_enterica_Typhi	AL513382	90370	59201	NCBI-REF
Salmonella_enterica_VI	CP053406	59207	28901	CDC SME
Salmonella_enterica_VII	CP053582	59208	28901	CDC SME
Salmonella_enterica_VIII	CP053318	9000009	28901	CDC SME
Salmonella_enterica_X	CP053581	9000017	28901	CDC SME
Serratia_liquefaciens	CP006252	614	613	NCBI-REF
Shewanella_halifaxensis	CP000931	271098	22	NCBI-REF
Shewanella_oneidensis	AE014299	70863	22	NCBI-REF
Shewanella_woodyi	CP000961	60961	22	NCBI-REF
Shimwellia_blattae	CP001560	563	1335483	NCBI-REF
